Depth,Accuracy,Precision,Recall,F1
10,0.8463095238095238,0.8460911174610578,0.8449068421816948,0.8449922502071914
12,0.8563095238095239,0.8545988109481526,0.855351595688707,0.854846088891529
14,0.856904761904762,0.8555498683786004,0.8555142856294768,0.8554488853971106
16,0.8586904761904762,0.8571276461168387,0.85745986853138,0.8572071932676735
18,0.8548809523809524,0.8531105549585167,0.853348095946797,0.8531458034413039
20,0.8554761904761905,0.8541324131782082,0.853874120416479,0.8539190427171472
22,0.8559523809523809,0.8542195682315702,0.8548045291916404,0.8544097078308006
24,0.8602380952380952,0.8587301190265325,0.8590918949210277,0.858859982312653
26,0.8558333333333333,0.8542776146906366,0.8544961975280941,0.8543197200041381
28,0.8563095238095239,0.8549568655643192,0.8553180181035864,0.8550595931610827
30,0.8535714285714285,0.8522563340873252,0.852253464029662,0.8521976023747916
32,0.8552380952380952,0.8536717943914095,0.854166438748573,0.8538340896674402
34,0.8533333333333334,0.851817466828158,0.8519723522821856,0.8518370406578504
36,0.8563095238095239,0.8556095819790512,0.8550443987737697,0.8552592706018917
38,0.854047619047619,0.8526393338634298,0.8531516122225898,0.8528296626571805
40,0.8529761904761904,0.8516024543498485,0.8519745997148975,0.8517494492140179
42,0.8564285714285714,0.855195313367687,0.85536933460734,0.8552447256474502
44,0.8521428571428571,0.8510166610544679,0.8511701631327808,0.8510221672790047
46,0.8544047619047619,0.8530020506837239,0.8530574638255706,0.8529690220843016
48,0.85,0.8483548699764603,0.8488858153476047,0.848563452850029
50,0.8522619047619048,0.8510382810923444,0.8507635042338018,0.8508805737713756
52,0.8563095238095239,0.8548452151509449,0.8553435685718043,0.8550545338889659
54,0.8547619047619047,0.8538161955369723,0.8537257901597808,0.8536990080893135
56,0.8509523809523809,0.8497660166501204,0.8497595014206883,0.8497357794265795
58,0.8546428571428571,0.8534543240614705,0.8535902037594282,0.8534627216530144
60,0.8548809523809524,0.8535292295835797,0.8537165373649067,0.8535815434880186
62,0.8546428571428571,0.8534586225200265,0.8533350432954541,0.853317385046344
64,0.8561904761904762,0.854642800357367,0.854975047993196,0.8547121986917776
66,0.8528571428571429,0.8518918152907531,0.8519550500346773,0.8518394517575386
68,0.8532142857142857,0.851514997536696,0.8519441134850455,0.8516558213374156
70,0.8552380952380952,0.8536513495922522,0.8539958022687107,0.8537297231829667
72,0.8557142857142858,0.8541112127388384,0.8545881038992645,0.854272769815594
74,0.8548809523809524,0.8533426484385096,0.8536442377712087,0.8534318780710451
76,0.8577380952380952,0.8566225607097604,0.8564188423861715,0.856493913452278
78,0.8544047619047619,0.8532548375823709,0.8533476103996518,0.8532542806352759
80,0.8514285714285714,0.8500460608579361,0.8502460576213877,0.8500639514937671
82,0.8539285714285715,0.8523843305723748,0.8527358186246344,0.8525263896392714
84,0.85,0.8491052545921395,0.8487897207278084,0.848850659833003
86,0.855,0.8536076147085045,0.8539020679098984,0.8536896114292707
88,0.854047619047619,0.8526017887182386,0.8527147979895631,0.8525303980831153
90,0.8558333333333333,0.8544530478232074,0.8545467247473141,0.8544289925792778
92,0.8521428571428571,0.8502700139233349,0.8507577965552062,0.8504318634647421
94,0.8525,0.8510545361396978,0.8513331021869794,0.8511651283088286
96,0.8539285714285715,0.8524983361112888,0.8527773418339674,0.8525916031516937
98,0.8541666666666666,0.8526723029100974,0.8528194578145338,0.8526805389356676
